name,search_query,sub_category,address_raw,lat,lon
"충주에 뭐 있음?충주맨,사과 그리고.. 전국구 충주 찐맛집 (청주아님)","03.01 충주에 뭐 있음?충주맨,사과 그리고.. 전국구 충주 찐맛집 (청주아님)",또간집,03.01,,
"의정부주민만 먹는 부대ㅇㅇ , 부대찌개 성지에서 찾은 로컬 찐맛집","03.15 의정부주민만 먹는 부대ㅇㅇ , 부대찌개 성지에서 찾은 로컬 찐맛집",또간집,03.15,,
대표 관광지명동에서 역대급 1등 맛집 찾았습니다,03.29 대표 관광지명동에서 역대급 1등 맛집 찾았습니다,또간집,03.29,,
"대구1등 막창, 여기로 종결 🔥 맛집 성지 대구 또방문했습니다","04.12 대구1등 막창, 여기로 종결 🔥 맛집 성지 대구 또방문했습니다",또간집,04.12,,
"부산1등 국밥 최강전, 오늘은 국밥만 먹습니다.","04.26 부산1등 국밥 최강전, 오늘은 국밥만 먹습니다.",또간집,04.26,,
풍자가 말아주는서울숲찐맛집 코스.. 이번주 데이트 코스는 여기다,05.10 풍자가 말아주는서울숲찐맛집 코스.. 이번주 데이트 코스는 여기다,또간집,05.10,,
청주맛집 뭐여? 이 맛있는 걸 청주 사람들만 먹은 겨?.. 늦게 와서 미안혀,05.24 청주맛집 뭐여? 이 맛있는 걸 청주 사람들만 먹은 겨?.. 늦게 와서 미안혀,또간집,05.24,,
춘천여행 전 필수 시청.. 춘천시민 만장일치 1등 닭갈비집 (빠니보틀도 인정함),06.07 춘천여행 전 필수 시청.. 춘천시민 만장일치 1등 닭갈비집 (빠니보틀도 인정함),또간집,06.07,,
2시에 문닫는영등포노포.. 타임스퀘어 가기 전 필수코스,06.21 2시에 문닫는영등포노포.. 타임스퀘어 가기 전 필수코스,또간집,06.21,,
대한민국 여름 핫플 1위🔥양양군에서 찾은 맛집 풀코스,07.05 대한민국 여름 핫플 1위🔥양양군에서 찾은 맛집 풀코스,또간집,07.05,,
강릉바다 다 뒤져서 🔱물회의 제왕🔱 찾았습니다,07.19 강릉바다 다 뒤져서 🔱물회의 제왕🔱 찾았습니다,또간집,07.19,,
여기는분당최고 맛집이 될 곳입니다..풍자눈 뒤집어지게 만든 🥇맛집 명당🥇 최초공개,08.02 여기는분당최고 맛집이 될 곳입니다..풍자눈 뒤집어지게 만든 🥇맛집 명당🥇 최초공개,또간집,08.02,,
서울 사람들아! 앞으로 약속은 무조건사당이다..✊️,08.16 서울 사람들아! 앞으로 약속은 무조건사당이다..✊️,또간집,08.16,,
호두과자 원툴천안에서 100년 된 찐로컬맛집 발굴 했습니다.,08.30 호두과자 원툴천안에서 100년 된 찐로컬맛집 발굴 했습니다.,또간집,08.30,,
성심당의 도시대전에서 찾은 현지인 1등 빵집,09.20 성심당의 도시대전에서 찾은 현지인 1등 빵집,또간집,09.20,,
은평구의 심장 연신내에서 벌어진 50년 경력 요리 고인물들의 맛집 계급 전쟁,10.04 은평구의 심장 연신내에서 벌어진 50년 경력 요리 고인물들의 맛집 계급 전쟁,또간집,10.04,,
군산맛 끝판왕 등장 🔥 군산 주민이 올해만 100그릇 먹은 찐로컬 맛집 찾았다,10.18 군산맛 끝판왕 등장 🔥 군산 주민이 올해만 100그릇 먹은 찐로컬 맛집 찾았다,또간집,10.18,,
역대 최다 요청 🚨 드디어 또 왔습니다...전주1등 맛집 최종판등장,11.1 역대 최다 요청 🚨 드디어 또 왔습니다...전주1등 맛집 최종판등장,또간집,11.1,,
진짜 힙스터 성지해방촌에서 찾은 숨겨진 찐맛집,11.15 진짜 힙스터 성지해방촌에서 찾은 숨겨진 찐맛집,또간집,11.15,,
일산오면 무조건 '여기'들리세요. 역대급 죽음의 조였던 일산 1등 맛집의 정체는?,11.29 일산오면 무조건 '여기'들리세요. 역대급 죽음의 조였던 일산 1등 맛집의 정체는?,또간집,11.29,,
목포의 딸박나래가 숨겨왔던 비장의 또간집 공개 ❗️❗️ 더 쎄진 목포 찐맛집 '이 곳'으로 종결합니다..,12.13 목포의 딸박나래가 숨겨왔던 비장의 또간집 공개 ❗️❗️ 더 쎄진 목포 찐맛집 '이 곳'으로 종결합니다..,또간집,12.13,,
겨울 여행 대장통영❄️ 제철 맞은 굴왕국에서 찾은 필승 맛집 1위🥇,01.10 겨울 여행 대장통영❄️ 제철 맞은 굴왕국에서 찾은 필승 맛집 1위🥇,또간집,01.10,,
창원에 뭐 있음? 했다가 ‘이 맛’보고 맛있어서 울어버린 풍자.. 창원 필살기 맛집 종결.,01.31 창원에 뭐 있음? 했다가 ‘이 맛’보고 맛있어서 울어버린 풍자.. 창원 필살기 맛집 종결.,또간집,01.31,,
동대문토박이 업자들이 숨겨놓은 노포 찐맛집 대방출.. 혼자 10인분 순삭해버렸습니다..,02.14 동대문토박이 업자들이 숨겨놓은 노포 찐맛집 대방출.. 혼자 10인분 순삭해버렸습니다..,또간집,02.14,,
동탄신도시 맛집 없다고 한사람? 구독자 요청 1위 동탄 제대로 찢고 왔습니다.,02.28 동탄신도시 맛집 없다고 한사람? 구독자 요청 1위 동탄 제대로 찢고 왔습니다.,또간집,02.28,,
마산쥑이네! 창원편보고 화난 마산인들이 알려준 대장급 맛집 공개합니다,03.14 마산쥑이네! 창원편보고 화난 마산인들이 알려준 대장급 맛집 공개합니다,또간집,03.14,,
벚꽃 성지진해에서 관광객은 절대 모르는 1등 찐로컬 맛집 공개,03.28 벚꽃 성지진해에서 관광객은 절대 모르는 1등 찐로컬 맛집 공개,또간집,03.28,,
자취 메카신림동에서 찾은 구독자의 비밀 찐맛집 뺏어왔습니다.,04.11 자취 메카신림동에서 찾은 구독자의 비밀 찐맛집 뺏어왔습니다.,또간집,04.11,,
맛부심 미친안양시민들 싹 다 출동👥 안양 1등 이걸로 끝,04.25 맛부심 미친안양시민들 싹 다 출동👥 안양 1등 이걸로 끝,또간집,04.25,,
풍자가 촬영 다음날 바로 또 간김포역대급 또간집,05.09 풍자가 촬영 다음날 바로 또 간김포역대급 또간집,또간집,05.09,,
한국인은 대부분 모르는오사카로컬 찐맛집🇯🇵 찾아왔습니다,05.23 한국인은 대부분 모르는오사카로컬 찐맛집🇯🇵 찾아왔습니다,또간집,05.23,,
