route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,road_id,is_wide_road,safety_index
대로3류(동패동),경기도,파주시,경기도 파주시 동패동 1757,,,,,,0.51,1.5,,0,대로3류(동패동)_파주시,0,0.0365
당동2로,경기도,파주시,경기도 파주시 문산읍 당동리 476-3,,,,,,2.22,1.5,,0,당동2로_파주시,0,0.0416
당동1로(2),경기도,파주시,경기도 파주시 문산읍 당동리 947,,,,,,0.32,1.0,,0,당동1로(2)_파주시,0,0.0243
당동1로(1),경기도,파주시,경기도 파주시 문산읍 당동리 168,,,,,,1.13,1.5,,0,당동1로(1)_파주시,0,0.0384
다율로,경기도,파주시,경기도 파주시 다율동 1011-1,,,,,,0.84,1.5,,0,다율로_파주시,0,0.0375
능안로,경기도,파주시,경기도 파주시 조리읍 대원리 992-8,,,,,,0.34,1.5,,0,능안로_파주시,0,0.036
노을빛로,경기도,파주시,경기도 파주시 동패동 2148,,,,,,0.25,1.5,,0,노을빛로_파주시,0,0.0357
남북로,경기도,파주시,경기도 파주시 탄현면 갈현리 1315-2,,,,,,5.44,1.1,,0,남북로_파주시,0,0.042
기곡길,경기도,파주시,경기도 파주시 조리읍 장곡리 358-3,,,,,,0.83,1.5,,0,기곡길_파주시,0,0.0375
금송교서측도로,경기도,파주시,경기도 파주시 월롱면 덕은리 1242,,,,,,0.82,1.2,,0,금송교서측도로_파주시,0,0.0304
금바위로(분기2),경기도,파주시,경기도 파주시 와동동 1388,,,,,,0.49,1.5,,0,금바위로(분기2)_파주시,0,0.0364
금바위로,경기도,파주시,경기도 파주시 와동동 1376,,,,,,2.13,1.5,,0,금바위로_파주시,0,0.0414
금릉역로,경기도,파주시,경기도 파주시 금촌동 496-12,,,,,,1.89,1.8,,0,금릉역로_파주시,0,0.0476
교하로(3),경기도,파주시,경기도 파주시 오도동 143-2,,,,,,1.48,1.2,,0,교하로(3)_파주시,0,0.0324
교하로(2),경기도,파주시,경기도 파주시 목동동 914,,,,,,7.78,1.5,,0,교하로(2)_파주시,0,0.0583
교하로(1),경기도,파주시,경기도 파주시 문발동 95-19,,,,,,0.82,3.0,,0,교하로(1)_파주시,1,0.0724
공릉천자전거2길,경기도,파주시,경기도 파주시 조리읍 대원리 962-2,,,,,,3.0,1.2,,0,공릉천자전거2길_파주시,0,0.037
공릉천자전거1길,경기도,파주시,경기도 파주시 탄현면 갈현리 1314-13,,,,,,13.4,1.2,,0,공릉천자전거1길_파주시,0,0.0682
경의로,경기도,파주시,경기도 파주시 금촌동 456-2,,,,,,13.81,1.5,,0,경의로_파주시,0,0.0764
