name,category,sub_category,sido,address,lat,lon,source
부산대학교 박물관,kculture,museum,부산광역시,"부산광역시 금정구 부산대학로63번길 2-0, 1동 (장전동,부산대학교)",35.232680313,129.08126675,public
KT&G 상상마당 부산미술관,kculture,museum,부산광역시,"부산광역시 부산진구 서면로 39-0 (부전동,KT&G상상마당부산)",35.154284703,129.057284424,public
경성대학교미술관,kculture,museum,부산광역시,"부산광역시 남구 수영로 309-0, 1동 1층 1호 (대연동,경성대학교)",35.138487681,129.100103145,public
한광미술관,kculture,museum,부산광역시,부산광역시 중구 중앙대로 130-0 (중앙동4가),35.108971922,129.037425386,public
부산현대미술관,kculture,museum,부산광역시,"부산광역시 사하구 낙동남로 1191-0, 1동 (하단동,부산현대미술관)",35.109350729,128.942990654,public
DOT미술관,kculture,museum,부산광역시,부산광역시 금정구 금샘로 35 (장전동),35.228939425,129.076739182,public
석당미술관,kculture,museum,부산광역시,부산광역시 서구 구덕로 225 (부민동2가),35.104846143,129.019374721,public
고은사진미술관,kculture,museum,부산광역시,"부산광역시 해운대구 해운대로452번길 16, 2층 (우동)",35.163305448,129.141239515,public
부산광역시교육청,kculture,museum,부산광역시,"부산광역시 사하구 옥천로 130-0, 1동 (감천동,부산교육역사관)",35.096867545,129.011102986,public
증권박물관(부산관),kculture,museum,부산광역시,부산광역시 남구 전포대로 133-0 (문현동),35.148312778,129.065451187,public
한국거래소 자본시장역사박물관,kculture,museum,부산광역시,"부산광역시 남구 문현금융로 40-0, 00동 00호 (문현동,부산국제금융센터)",35.147140804,129.065649054,public
추리문학관,kculture,museum,부산광역시,"부산광역시 해운대구 달맞이길117번나길 111-0 (중동,추리문학관)",35.16168821,129.183308964,public
요산김정한문학관,kculture,museum,부산광역시,부산광역시 금정구 팔송로 60-6 (남산동),35.272359237,129.085683387,public
이주홍문학관,kculture,museum,부산광역시,"부산광역시 동래구 금강로61번길 20-12 (온천동,이주홍문학관)",35.215294961,129.076618558,public
신라대학교 박물관,kculture,museum,부산광역시,"부산광역시 사상구 백양대로700번길 140-0, 1동 (괘법동,신라대학교)",35.169233349,128.995284624,public
경성대학교 박물관,kculture,museum,부산광역시,"부산광역시 남구 수영로 309-0, 1동 (대연동,경성대학교)",35.138487681,129.100103145,public
동의대학교 박물관,kculture,museum,부산광역시,"부산광역시 부산진구 엄광로 176-0, 1동 (가야동,동의대학교)",35.142444729,129.034920914,public
유엔평화기념관,kculture,museum,부산광역시,"부산광역시 남구 홍곡로320번길 106-0, 1동 (대연동,UN평화기념관)",35.124701715,129.093288346,public
