contentid,contentTypeId,title,addr1,mapx,mapy,cat1,cat2,cat3
2500207,12,상수동 카페거리,서울특별시 마포구 상수동,126.9214545083,37.5484886553,A02,A0203,A02030600
2993396,12,상촌재,서울특별시 종로구 자하문로17길 12-11 (옥인동),126.9697547156,37.5819273005,A02,A0203,A02030200
2455084,12,생명보험교육문화센터,서울특별시 종로구 새문안로5길 31 (도렴동),126.9743656585,37.5730284176,A02,A0204,A02040800
128622,12,서대문독립공원,서울특별시 서대문구 통일로 251 (현저동),126.9573421635,37.5746723659,A02,A0202,A02020700
1021339,12,서래마을,서울특별시 서초구 반포동,126.9983156029,37.49785147,A02,A0203,A02030100
2773409,12,서리풀공원,서울특별시 서초구 서초동,126.9997156731,37.4908523076,A02,A0202,A02020700
1603296,12,서빙고동 부군당,서울특별시 용산구 서빙고로59길 3-6 (서빙고동),126.9931932063,37.5205209674,A02,A0201,A02010900
1605977,12,서소문역사공원,서울특별시 중구 칠패로 5 (의주로2가),126.9693637143,37.5596854342,A02,A0202,A02020700
3019162,12,서순라길,서울특별시 종로구 종로 150-3 (종로3가),126.9942167014,37.5704207437,A02,A0203,A02030600
945824,12,서울 경교장,서울특별시 종로구 새문안로 29 (평동),126.9686079871,37.5681816549,A02,A0201,A02010700
252527,12,서울 고려대학교 본관,서울특별시 성북구 안암로 145,127.032271026,37.5894664364,A02,A0201,A02010700
250470,12,서울 고려대학교 중앙도서관,서울특별시 성북구 안암로 145 (안암동5가),127.0340403438,37.5882471654,A02,A0201,A02010700
126909,12,서울 구 벨기에영사관 (현 서울시립 남서울미술관),서울특별시 관악구 남부순환로 2076,126.9795345921,37.4761175459,A02,A0201,A02010700
2452856,12,서울 구의정수장 제1·2공장(구의 아리수 정수센터),서울특별시 광진구 광나루로 571 (구의동),127.093080662,37.5442227879,A02,A0204,A02040800
704507,12,서울 동대문 닭한마리 골목,서울특별시 종로구 종로40가길 14,127.0058684191,37.5703487391,A02,A0203,A02030600
126804,12,서울 명동성당,서울특별시 중구 명동길 74,126.9872814233,37.5633131117,A02,A0201,A02010900
126515,12,서울 방이동 고분군,서울특별시 송파구 오금로 219 (방이동),127.1181655365,37.507405293,A02,A0201,A02010700
753989,12,서울 살곶이 다리,서울특별시 성동구 성수동,127.0459874565,37.5537847183,A02,A0205,A02050100
704506,12,서울 삼각지 대구탕 골목,서울특별시 용산구 한강대로62가길 4 (한강로1가),126.9741028792,37.534649539,A02,A0203,A02030600
231897,12,서울 삼전도비,서울특별시 송파구 삼학사로 136 (잠실동),127.0978839997,37.5091158401,A02,A0205,A02050200
