sido,sigungu,crash_count,death_count,severe_count,injury_count,danger_score
전남,광양시,7.0,0.0,7.0,0.0,0.0042
전남,목포시,49.0,3.0,42.0,6.0,0.0416
전남,순천시,15.0,2.0,13.0,0.0,0.0126
전남,여수시,125.0,11.0,123.0,18.0,0.123
전남,영암군,4.0,0.0,0.0,2.0,0.0
전남,장흥군,7.0,0.0,7.0,0.0,0.0042
전남,함평군,8.0,0.0,8.0,0.0,0.0051
전라남도,강진군,7.0,0.0,7.0,0.0,0.0042
전라남도,고흥군,12.0,0.0,12.0,0.0,0.0084
전라남도,광양시,4.0,0.0,2.0,2.0,0.0011
전라남도,나주시,9.0,0.0,2.0,7.0,0.0039
전라남도,목포시,101.0,2.0,44.0,56.0,0.0699
전라남도,보성군,7.0,0.0,7.0,1.0,0.0045
전라남도,순천시,68.0,2.0,44.0,20.0,0.0506
전라남도,여수시,49.0,7.0,45.0,20.0,0.0528
전라남도,영암군,15.0,0.0,4.0,12.0,0.0081
전라남도,장성군,11.0,0.0,0.0,8.0,0.0037
전라남도,장흥군,14.0,0.0,4.0,10.0,0.0073
전라남도,화순군,11.0,2.0,6.0,3.0,0.0084
전라북도,군산시,225.0,7.0,76.0,130.0,0.1506
전라북도,김제시,14.0,0.0,14.0,0.0,0.0101
전라북도,남원시,61.0,1.0,20.0,41.0,0.0396
전라북도,익산시,92.0,3.0,37.0,53.0,0.064
전라북도,전주시 덕진구,100.0,5.0,38.0,56.0,0.0705
전라북도,전주시 완산구,76.0,5.0,48.0,30.0,0.0621
전라북도,정읍시,66.0,2.0,30.0,34.0,0.0461
전북,군산시,31.0,3.0,17.0,7.0,0.0228
전북,김제시,22.0,0.0,27.0,0.0,0.0197
전북,부안군,14.0,1.0,13.0,0.0,0.011
전북,완주군,7.0,0.0,7.0,0.0,0.0042
전북,익산시,28.0,1.0,28.0,5.0,0.0247
전북,전주시 덕진구,7.0,0.0,7.0,0.0,0.0042
전북,전주시 완산구,80.0,3.0,79.0,2.0,0.0699
전북,정읍시,7.0,0.0,7.0,0.0,0.0042
제주,서귀포시,65.0,5.0,60.0,4.0,0.0584
제주,제주시,105.0,5.0,105.0,2.0,0.0944
제주특별자치도,서귀포시,31.0,1.0,30.0,2.0,0.0258
제주특별자치도,제주시,106.0,1.0,72.0,32.0,0.0789
충남,공주시,18.0,0.0,18.0,0.0,0.0135
충남,당진시,42.0,2.0,40.0,2.0,0.036
충남,보령시,57.0,0.0,57.0,0.0,0.0463
충남,부여군,40.0,0.0,40.0,1.0,0.0323
충남,서산시,96.0,1.0,95.0,2.0,0.0806
충남,서천군,28.0,0.0,28.0,0.0,0.0219
충남,아산시,110.0,2.0,112.0,0.0,0.0949
충남,천안시 동남구,99.0,7.0,96.0,6.0,0.0916
충남,천안시 서북구,47.0,3.0,45.0,1.0,0.0413
충남,태안군,31.0,0.0,31.0,1.0,0.0247
충북,단양군,7.0,0.0,8.0,0.0,0.0048
충북,영동군,15.0,0.0,15.0,3.0,0.0118
충북,옥천군,14.0,0.0,14.0,0.0,0.0101
충북,제천시,28.0,2.0,26.0,0.0,0.0236
충북,증평군,40.0,5.0,35.0,1.0,0.0365
충북,진천군,19.0,1.0,15.0,3.0,0.0143
충북,청주시 상당구,36.0,1.0,30.0,4.0,0.0278
충북,청주시 서원구,36.0,1.0,32.0,5.0,0.0292
충북,청주시 청원구,13.0,0.0,8.0,5.0,0.0079
충북,청주시 흥덕구,21.0,1.0,5.0,15.0,0.0126
충북,충주시,39.0,0.0,34.0,6.0,0.0301
충청남도,공주시,28.0,1.0,18.0,7.0,0.0197
충청남도,논산시,7.0,1.0,6.0,1.0,0.0053
충청남도,당진시,31.0,1.0,33.0,3.0,0.0278
충청남도,보령시,44.0,3.0,32.0,8.0,0.0351
충청남도,부여군,15.0,0.0,12.0,3.0,0.0101
충청남도,서산시,73.0,1.0,64.0,9.0,0.0587
충청남도,서천군,19.0,2.0,12.0,6.0,0.0149
충청남도,아산시,39.0,1.0,38.0,5.0,0.0334
충청남도,천안시 동남구,43.0,1.0,32.0,10.0,0.0326
충청남도,천안시 서북구,22.0,3.0,18.0,7.0,0.0208
충청남도,태안군,14.0,1.0,13.0,0.0,0.011
충청남도,홍성군,12.0,0.0,11.0,2.0,0.0084
충청북도,영동군,11.0,0.0,8.0,3.0,0.0067
충청북도,옥천군,8.0,0.0,8.0,0.0,0.0051
충청북도,제천시,30.0,1.0,16.0,12.0,0.0205
충청북도,증평군,29.0,0.0,11.0,15.0,0.0169
충청북도,청주시 상당구,138.0,6.0,64.0,68.0,0.1006
충청북도,청주시 서원구,154.0,2.0,58.0,95.0,0.1037
충청북도,청주시 청원구,22.0,0.0,6.0,14.0,0.0118
충청북도,청주시 흥덕구,183.0,1.0,68.0,116.0,0.1219
충청북도,충주시,147.0,3.0,70.0,69.0,0.1025
