start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index
,,,,0.6,2.0,자전거보행자겸용도로,,1,0.1154
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.3,6.0,자전거보행자겸용도로,,1,0.4152
,,,,0.2,3.0,자전거보행자겸용도로,,1,0.189
,,,,0.8,6.0,자전거보행자겸용도로,,1,0.4174
,,,,0.6,3.0,자전거보행자겸용도로,,1,0.1907
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,1.7,3.0,자전거보행자겸용도로,,1,0.1954
,,,,0.2,3.0,자전거보행자겸용도로,,1,0.189
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,0.6,3.0,자전거보행자겸용도로,,1,0.1907
,,,,0.47,1.5,자전거보행자겸용도로,Y,0,0.0772
,,,,0.07,2.0,자전거보행자겸용도로,Y,1,0.1132
,,,,0.21,2.0,자전거보행자겸용도로,Y,1,0.1138
,,,,0.36,2.0,자전거보행자겸용도로,Y,1,0.1144
,,,,0.33,2.0,자전거보행자겸용도로,Y,1,0.1143
,,,,0.34,2.0,자전거보행자겸용도로,Y,1,0.1143
,,,,0.25,2.0,자전거보행자겸용도로,Y,1,0.1139
,,,,0.17,2.0,자전거보행자겸용도로,Y,1,0.1136
,,,,0.16,2.0,자전거보행자겸용도로,Y,1,0.1135
,,,,0.21,2.0,자전거보행자겸용도로,Y,1,0.1138
,,,,0.26,2.0,자전거보행자겸용도로,Y,1,0.114
,,,,0.32,1.5,자전거보행자겸용도로,Y,0,0.0766
,,,,0.34,2.0,자전거보행자겸용도로,Y,1,0.1143
,,,,0.25,2.0,자전거보행자겸용도로,Y,1,0.1139
,,,,0.34,2.0,자전거보행자겸용도로,Y,1,0.1143
,,,,0.06,2.1,자전거보행자겸용도로,Y,1,0.1206
,,,,0.13,2.1,자전거보행자겸용도로,Y,1,0.1209
,,,,0.08,2.0,자전거보행자겸용도로,Y,1,0.1132
,,,,0.16,1.2,자전거보행자겸용도로,Y,0,0.0533
