x,y,distance,install_type,is_24h,has_restricted_hours
126.901814849,37.485647281,10711.766101,수동식|,False,False
127.051338142,37.471838346,11998.171811,,False,False
127.059566883,37.486666302,11492.153836,,False,False
127.059619376,37.486636077,11498.068489,,False,False
127.059262506,37.486129984,11505.992338,,False,False
127.055742647,37.485758509,11275.613928,,False,False
127.056470382,37.48606996,11306.505096,,False,False
127.057056479,37.485465993,11390.604102,,False,False
127.056710334,37.486618438,11286.12339,,False,False
126.919209032,37.638009581,9237.927446,,False,False
126.977752185,37.521623328,4263.641884,,False,False
127.047333055,37.478674557,11217.102295,,False,False
126.917205277,37.528376247,6771.13702,기타|태양광|,False,False
127.097177074,37.466554752,15660.999612,,False,False
127.099207369,37.472826146,15441.300575,,False,False
127.080374656,37.491006609,12852.293702,,False,False
127.068497658,37.623914261,11122.367347,기계식|,False,False
126.880198727,37.56521624,9450.228822,기계식|,False,False
127.057819579,37.492251596,10990.485036,,False,False
127.060723392,37.493561515,11128.170759,,False,False
127.036028994,37.485002209,10013.10723,,False,False
126.981728837,37.552657473,1347.416193,,False,False
126.971553172,37.541922365,2244.858216,기계식|,False,False
126.971428866,37.541892514,2249.585105,,False,False
126.971003142,37.541266423,2317.947178,수동식|,False,False
126.970995623,37.541128933,2331.640873,,False,False
127.063831356,37.49966172,11001.830856,,False,False
127.071473311,37.642742827,12467.106295,기계식|,False,False
127.057311239,37.654028229,12208.005158,기계식|,False,False
127.08626675,37.624377874,12678.979535,기계식|,False,False
127.080918861,37.650446018,13685.945845,기계식|,False,False
127.076847341,37.658259593,13889.462289,기계식|,False,False
127.060590319,37.653799382,12415.722902,,False,False
127.060272641,37.654803188,12466.568547,기계식|,False,False
126.894233261,37.49373662,10692.1165,,False,False
127.065272062,37.661144589,13271.079254,기계식|,False,False
126.986263313,37.535294745,3108.780479,수동식|,False,False
126.986167973,37.535168141,3117.013411,,False,False
126.987035997,37.53444182,3216.949123,수동식|,False,False
126.987072936,37.534419446,3220.433419,,False,False
126.986018145,37.53473484,3151.928379,수동식|,False,False
126.986057697,37.534744026,3152.494552,,False,False
127.037341335,37.517506973,7810.336265,,False,False
127.044973184,37.477788917,11134.298273,,False,False
127.021716041,37.510965108,7099.021787,,False,False
127.056619787,37.495239616,10705.284559,,False,False
127.053904121,37.475845608,11862.440936,,False,False
127.079346289,37.670481624,14919.217993,기계식|,False,False
126.903999541,37.535246222,7637.588825,수동식|,False,False
126.90197147,37.533374684,7896.728367,수동식|,False,False
126.907689957,37.531600806,7449.245477,기계식|,False,False
127.069012624,37.650515787,12788.613436,기계식|,False,False
127.065591004,37.649214325,12449.105563,기계식|,False,False
127.072124592,37.654188797,13266.314621,기계식|,False,False
127.072310511,37.656382256,13429.660098,기계식|,False,False
126.895027315,37.494166579,10604.064904,수동식|,False,False
126.895695538,37.492664737,10654.134325,기타|태양광|,False,False
126.907952087,37.491978673,9830.217127,수동식|,False,False
127.060561718,37.505948977,10373.260017,,False,False
127.073193101,37.491719998,12226.193639,,False,False
127.072915805,37.491746037,12202.319613,,False,False
127.073183725,37.491379701,12245.629983,,False,False
127.072842896,37.490643859,12262.203005,,False,False
127.073244702,37.491100499,12267.140401,,False,False
126.904520926,37.503115687,9300.316137,수동식|,False,False
127.104712472,37.462569118,16499.460177,,False,False
127.106640837,37.464653203,16525.530707,,False,False
127.107386863,37.46525284,16549.253386,,False,False
127.074743341,37.638041784,12437.711317,,False,False
127.078929349,37.496078384,12449.315008,,False,False
127.082612148,37.491927163,12985.472274,,False,False
127.079506059,37.494104204,12606.257028,,False,False
127.079756305,37.493859473,12640.662955,,False,False
127.079766595,37.493537273,12659.461794,,False,False
127.079148061,37.493390853,12616.377783,,False,False
127.079226686,37.493995045,12589.11875,,False,False
127.058267894,37.489598764,11199.247921,,False,False
127.058039897,37.489897614,11162.342354,,False,False
127.059488248,37.489824155,11275.737733,,False,False
