visit_area_nm,x_coord,y_coord,attraction_score_mean,attraction_score_std,visit_count,attraction_score_norm
ZARA 자라 롯데몰 수원점,126.9972492,37.2640206,4.2449,0.0,1,0.6573
ZARA 트리플 스트리트점,126.6593946,37.3809132,3.8884,0.0539,2,0.4955
bd 버거 성수,127.0564242,37.5410612,4.1808,0.1418,3,0.6282
dooop,127.0401935,37.5470415,4.1792,0.0,1,0.6275
e 편한 세상 보문 1단지 아파트,127.0157074,37.5829439,2.8104,0.0,1,0.0063
e99,126.6467698,37.3932507,4.2947,0.0,1,0.6799
fitamin (팝스토어 전시회),127.027468,37.527359,4.1314,0.0,1,0.6058
h654 현대 프리미엄 아울렛 김포점,126.785193,37.5974491,4.3871,0.0,1,0.7218
hy 평택공장,127.0839923,37.105072,4.3562,0.0,1,0.7078
k world 호텔,126.9912659,37.5692171,3.9462,0.0,1,0.5218
stand by me,126.9707734,37.5803735,4.3106,0.0,1,0.6871
ㅊa 차이나타운점,126.6191743,37.4738218,4.1928,0.0,1,0.6337
가나아트센터,126.9751192,37.6123074,4.2998,0.0,1,0.6822
가나아트파크,126.9496635,37.7255669,4.2407,0.0,1,0.6554
가나안 국수,126.8279421,37.6009331,4.3718,0.0,1,0.7149
가네코 롯데백화점 영등포점,126.9078346,37.5162441,3.9365,0.0,1,0.5174
가드너스,126.6961725,37.7896429,4.2303,0.1305,6,0.6507
가든하다,127.4196757,37.5001995,3.9584,0.0,1,0.5273
가디림,127.0158253,37.2827054,4.0343,0.0,1,0.5618
가디온,127.3120774,37.3928529,4.3186,0.0641,2,0.6908
가락국수 일 번가,126.9338605,37.2739281,4.1806,0.0,1,0.6281
가람,127.3159662,37.533508,3.77,0.0,1,0.4418
가람 국숫집,127.2238055,37.9287755,3.9662,0.2357,2,0.5308
가람 빌딩,126.7597121,37.670395,3.2508,0.0,1,0.2062
가람슬기 스파 수영장 펜션,127.5282012,37.7481329,4.2669,0.0,1,0.6673
가마골 백숙 양주점,126.9713291,37.713548,4.417,0.0,1,0.7354
가마솥 백반,127.071252,38.0215971,4.0672,0.0,1,0.5767
가마솥 보리밥,127.3734031,37.2474042,4.2931,0.0,1,0.6792
가마솥 할머니 해장국,127.4951203,37.6224129,4.0498,0.0,1,0.5688
가미 가락국수,126.9238577,37.5546832,4.3226,0.3327,2,0.6926
가배도 명동점,126.9850262,37.5604191,4.1902,0.0,1,0.6325
가배도 코엑스점,127.0588076,37.5127803,3.9478,0.0,1,0.5225
가보 족발 대화점,126.7504581,37.6732085,4.4499,0.0,1,0.7504
가보정 1관,127.0287064,37.2741179,4.4969,0.0,1,0.7717
가비 아노,127.002296,37.5820331,4.2014,0.0,1,0.6376
가산 센트럴 푸르지오 시티 오피스텔,126.8906163,37.4752066,3.1917,0.0219,2,0.1793
가산디지털단지역 1호선,126.8826148,37.4815312,3.9921,0.1752,2,0.5426
가스 토랑,127.0306042,37.2579139,4.2486,0.0,1,0.659
가야 밀면,126.8825243,37.4208244,4.1602,0.0,1,0.6189
가양 칼국수,126.9313694,37.5209363,4.1822,0.0,1,0.6289
가양우성아파트,126.85419689999999,37.5622293,3.1626,0.1392,3,0.1661
가인,126.9079873,37.4618828,4.1681,0.0,1,0.6225
가장 맛있는 족발 인천 영종도점,126.4922264,37.4944242,4.1136,0.0,1,0.5977
가좌마을 2단지 대우 푸르지오 아파트,126.7172022,37.6871562,2.8107,0.0,1,0.0065
가채리 54,127.2100593,37.9162417,3.9848,0.0,1,0.5393
가천 대역 환승정류장,127.1256959,37.4508306,4.0787,0.0,1,0.5819
가천 린 포크 김포점,126.717564,37.61261,4.3409,0.0,1,0.7009
가톨릭대학교 성심교정,126.8022929,37.4860318,3.835,0.7473,2,0.4713
가톨릭대학교 성심교정 김수환관,126.8033778,37.4853894,4.1982,0.0,1,0.6361
가평 가보자 순대 국밥,127.5125568,37.8257308,4.0372,0.0,1,0.5631
가평 김밥,127.5098062,37.8333899,3.8976,0.2588,2,0.4997
가평 냉면 부손 설악 본점,127.4727185,37.6780607,4.0742,0.0,1,0.5798
가평 달맞이 밥상,127.364124,37.7662651,4.3931,0.0,1,0.7246
가평 돼지국밥,127.5141606,37.8191793,4.0091,0.3639,2,0.5503
가평 라무 키즈 글램핑,127.4781457,37.9544502,4.6981,0.2712,2,0.863
가평 레일파크,127.5158437,37.8289706,4.301,0.1876,6,0.6828
가평 메밀촌 가평점,127.5144349,37.81665,4.0859,0.1546,2,0.5851
가평 무지개 농원,127.5186945,37.8989757,3.7142,0.0,1,0.4165
가평 물골 숲계곡 캠핑장,127.314322,37.8367497,3.8287,0.0,1,0.4684
가평 뮤직 빌리지 음악 역 1939,127.5132455,37.8244772,4.4981,0.1814,2,0.7722
가평 베이스캠프 펜션,127.4725429,37.955836,4.7893,0.0,1,0.9044
가평 빠직 몰디브 수상 레저,127.553265,37.7273184,4.0871,0.0,1,0.5857
가평 사계절 썰매장,127.4021687,37.754865,4.4758,0.0,1,0.7621
가평 숯불 막국수 본점,127.5128649,37.748734,3.9996,0.0,1,0.546
가평 양대목장 카페,127.4737365,37.6438286,4.1597,0.1352,2,0.6187
가평 양떼목장,127.4720015,37.6436103,4.2043,0.1507,7,0.6389
가평 용추계곡 별천지 펜션,127.4717143,37.8608617,4.7722,0.0,1,0.8966
가평 잣 고을시장,127.515052,37.8297813,4.2023,0.0,1,0.638
가평 잣 두부집,127.3603556,37.7568238,4.3852,0.0,1,0.721
가평 조은 마트,127.51631560000001,37.8239881,4.1696,0.1393,5,0.6231
가평 주유소,127.5024363,37.8159865,3.6094,0.0,1,0.3689
