start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count,tourism_score,district_danger,road_attr_score,safety_score,final_score,tourism_score_v2,final_score_v2
37.33028283,126.9153444,37.32882956,126.9166121,0.19,2.0,자전거보행자겸용도로,Y,1,0.1137,0,0,0,0,0.0,0.253623188405797,0.1630388783209011,0.495940010054841,0.2975640060329046,0.0,0.297564
37.32652787,126.9193241,37.32832781,126.9171789,0.3,3.0,자전거보행자겸용도로,Y,1,0.1894,0,0,0,0,0.0,0.253623188405797,0.2716481073802552,0.5325948620222223,0.3195569172133333,0.0,0.319557
37.34110908,126.9378039,37.33630959,126.9351935,2.0,1.5,자전거보행자겸용도로,Y,0,0.0838,0,0,0,0,0.0,0.253623188405797,0.1242802487870562,0.4975572558477442,0.2985343535086465,0.0,0.298534
37.34414801,126.9538537,37.34597581,126.9490649,0.5,1.5,자전거보행자겸용도로,Y,0,0.0774,0,1,0,0,0.024390243902439,0.253623188405797,0.1117767756000598,0.4910879540880788,0.3044088700138229,0.212973,0.379842
37.34953381,126.9572294,37.34441635,126.9572653,1.4,2.0,자전거보행자겸용도로,Y,1,0.1189,0,1,0,0,0.024390243902439,0.253623188405797,0.1731250133584115,0.5117865041033977,0.3168280000230142,0.218093,0.394309
37.36596056,126.9539627,37.35662216,126.9599355,1.36,1.5,자전거보행자겸용도로,Y,0,0.0811,0,0,0,0,0.0,0.253623188405797,0.1189454335606044,0.4959540347549691,0.2975724208529814,0.0,0.297572
37.36006897,126.949241,37.36430987,126.9579042,0.9,2.0,자전거보행자겸용도로,Y,1,0.1167,0,0,0,0,0.0,0.253623188405797,0.168957188962746,0.5075814427677653,0.3045488656606591,0.0,0.304549
37.36042881,126.9283859,37.36019041,126.9243504,0.45,2.0,자전거보행자겸용도로,Y,1,0.1148,2,1,0,0,0.1056910569105691,0.253623188405797,0.1652061470066471,0.4985459994851434,0.3414040224553137,0.221179,0.387599
37.739721,127.436727,37.745165,127.43601,0.55,3.0,자전거우선도로,Y,1,0.1905,0,0,0,0,0.0,0.253623188405797,0.2737320195780879,0.5331336842107448,0.3198802105264469,0.206475,0.40247
37.731484,127.426524,37.739721,127.436727,1.74,2.0,자전거보행자겸용도로,Y,1,0.1203,0,0,0,0,0.0,0.253623188405797,0.175959133947464,0.512396597157324,0.3074379582943944,0.19329,0.384754
37.733179,127.419547,37.731484,127.426524,0.63,5.0,자전거우선도로,Y,1,0.3414,0,0,0,0,0.0,0.253623188405797,0.4897834868660097,0.5527571434549878,0.3316542860729927,0.189519,0.407462
37.733152,127.413653,37.733179,127.419547,0.61,4.0,자전거보행자겸용도로,Y,1,0.266,0,0,0,0,0.0,0.253623188405797,0.3819244661978755,0.5397529206617034,0.3238517523970221,0.17607,0.39428
37.697195,127.385693,37.733152,127.413653,5.4,2.5,자전거보행자겸용도로,Y,1,0.1737,2,1,0,0,0.1056910569105691,0.253623188405797,0.260313762369889,0.5415197776066307,0.3671882893282061,0.253144,0.426169
37.695039,127.384785,37.697195,127.385693,0.29,3.0,자전거보행자겸용도로,Y,1,0.1894,1,1,0,0,0.065040650406504,0.253623188405797,0.2715647508923419,0.5325948620222223,0.3455731773759349,0.230068,0.411584
37.67774,127.37666,37.695039,127.384785,2.5,3.0,자전거보행자겸용도로,Y,1,0.1989,2,1,0,0,0.1056910569105691,0.253623188405797,0.2899865347211832,0.534932463913483,0.3632359011123174,0.224914,0.410925
37.840334,127.513759,37.846917,127.508016,0.65,2.5,자전거우선도로,Y,1,0.1533,0,0,0,0,0.0,0.253623188405797,0.2207194306110672,0.5293282347411195,0.3175969408446716,0.19161,0.394241
37.834461,127.517185,37.840334,127.513759,0.67,2.5,자전거보행자겸용도로,Y,1,0.1534,0,0,0,0,0.0,0.253623188405797,0.2208861435868938,0.5293282347411195,0.3175969408446716,0.0,0.317597
37.83167,127.518273,37.834461,127.517185,0.3,4.0,자전거우선도로,Y,1,0.2647,0,1,0,0,0.024390243902439,0.253623188405797,0.3793404150725629,0.5386465509280616,0.3329440281178125,0.196136,0.401642
37.847085,127.506159,37.85847,127.516326,1.9,1.5,자전거전용도로,Y,0,0.0834,0,0,0,0,0.0,0.253623188405797,0.1234466839079231,0.4974223632310027,0.2984534179386016,0.196656,0.377116
37.876051,127.527433,37.881911,127.548394,2.7,3.0,자전거우선도로,Y,1,0.1997,0,0,0,0,0.0,0.253623188405797,0.2916536644794494,0.534932463913483,0.3209594783480898,0.0,0.320959
37.864708,127.53019,37.876051,127.527433,1.3,2.9,자전거우선도로,Y,1,0.1862,0,0,0,0,0.0,0.253623188405797,0.2692145254023553,0.5342033814111532,0.3205220288466919,0.0,0.320522
37.855675,127.514975,37.864708,127.53019,2.0,2.9,자전거우선도로,Y,1,0.1892,0,0,0,0,0.0,0.253623188405797,0.275049479556287,0.5349346814029446,0.3209608088417667,0.0,0.320961
37.854408,127.512206,37.855675,127.514975,0.6,3.4,자전거우선도로,Y,1,0.2208,0,0,0,0,0.0,0.253623188405797,0.3172257250945775,0.5384746069540253,0.3230847641724151,0.193095,0.400323
