route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,road_id,width_m,is_wide_road,safety_index
동삭로,경기도,평택시,경기도 평택시 칠괴동 585-2,경기도 평택시 동삭로 455-91 (칠괴동),37.024453,127.097379,37.024239,127.0951646,0.44,동삭로_평택시,,0,
산단로,경기도,평택시,경기도 평택시 칠괴동 56-28,,37.033924,127.09847,37.03214908,127.0882762,0.9,산단로_평택시,,0,
산단로197길,경기도,평택시,경기도 평택시 칠괴동 578-2,,37.032701,127.0900574,37.034065,127.093332,0.79,산단로197길_평택시,,0,
산단로197길,경기도,평택시,경기도 평택시 칠괴동 580,경기도 평택시 동삭로 455-12 (칠괴동),37.028951,127.095078,37.033851,127.090131,0.19,산단로197길_평택시,,0,
산단로,경기도,평택시,경기도 평택시 칠괴동 579-1,경기도 평택시 산단로197번길 11 (칠괴동),37.03214908,127.0882762,37.033372,127.0983158,0.94,산단로_평택시,,0,
칠괴길,경기도,평택시,경기도 평택시 지제동 579,,37.025343,127.075925,37.025473,127.079868,0.49,칠괴길_평택시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 삼평동 703-3,,,,,0.5,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 삼평동 672-6,,,,,0.23,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 판교동 492-2,,,,,0.22,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 판교동 513-3,,,,,0.22,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 판교동 629-9,,,,,0.17,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 판교동 584-1,,,,,0.31,판교로_성남시,,0,
판교로(하탑로),경기도,성남시,,경기도 성남시 분당구 이매동 129-13,,,,,2.01,판교로(하탑로)_성남시,,0,
판교로(하탑로)(대로2-12),경기도,성남시,,경기도 성남시 분당구 이매동 152-9,,,,,1.57,판교로(하탑로)(대로2-12)_성남시,,0,
서판교로,경기도,성남시,,경기도 성남시 분당구 판교동 584-1,,,,,1.86,서판교로_성남시,,0,
동판교로60번길,경기도,성남시,,경기도 성남시 분당구 백현동 546-6,,,,,0.32,동판교로60번길_성남시,,0,
동판교로,경기도,성남시,,경기도 성남시 수정구 사송동 342-11,,,,,0.46,동판교로_성남시,,0,
동판교로,경기도,성남시,,경기도 성남시 분당구 삼평동 717-6,,,,,0.46,동판교로_성남시,,0,
동판교로,경기도,성남시,,경기도 성남시 분당구 삼평동 717-6,,,,,1.33,동판교로_성남시,,0,
동판교로,경기도,성남시,,경기도 성남시 분당구 백현동 545-5,,,,,1.35,동판교로_성남시,,0,
동판교로,경기도,성남시,,경기도 성남시 분당구 백현동 558-2,,,,,1.7,동판교로_성남시,,0,
대왕판교로606번길,경기도,성남시,,경기도 성남시 분당구 삼평동 641-1,,,,,0.14,대왕판교로606번길_성남시,,0,
대왕판교로606번길,경기도,성남시,,경기도 성남시 분당구 삼평동 639-3,,,,,0.21,대왕판교로606번길_성남시,,0,
대왕판교로,경기도,성남시,,경기도 성남시 분당구 백현동 472-11,,,,,6.79,대왕판교로_성남시,,0,
대왕판교로,경기도,성남시,,경기도 성남시 분당구 백현동 519-1,,,,,1.0,대왕판교로_성남시,,0,
대왕판교로(1호광장),경기도,성남시,,경기도 성남시 분당구 삼평동 376-43,,,,,13.8,대왕판교로(1호광장)_성남시,,0,
성남대로343번길,경기도,성남시,,경기도 성남시 분당구 정자동 94-10,,,,,0.26,성남대로343번길_성남시,,0,
성남대로925번길,경기도,성남시,,경기도 성남시 분당구 야탑동 345-1,,,,,0.14,성남대로925번길_성남시,,0,
성남대로407번길,경기도,성남시,,경기도 성남시 분당구 정자동 94-10,,,,,0.27,성남대로407번길_성남시,,0,
성남대로407번길,경기도,성남시,,경기도 성남시 분당구 정자동 95-1,,,,,0.27,성남대로407번길_성남시,,0,
성남대로997번길,경기도,성남시,,경기도 성남시 중원구 여수동 200,,,,,0.54,성남대로997번길_성남시,,0,
성남대로43번길,경기도,성남시,,경기도 성남시 분당구 구미동 174,,,,,0.34,성남대로43번길_성남시,,0,
성남대로1390번길,경기도,성남시,,경기도 성남시 수정구 복정동 564-1,,,,,0.06,성남대로1390번길_성남시,,0,
성남대로1416번길,경기도,성남시,,경기도 성남시 수정구 복정동 693,,,,,0.06,성남대로1416번길_성남시,,0,
우정2길L,울산광역시,중구,,울산광역시 중구 우정동 689,,,,,0.17,우정2길L_중구,,0,
목동동로(남측),서울특별시,양천구,,서울특별시 양천구 목동 914-6번지,37.52977002,126.8776124,37.52977002,126.8776124,0.33,목동동로(남측)_양천구,,0,
운중로,경기도,성남시,,경기도 성남시 분당구 판교동 595-2,,,,,1.78,운중로_성남시,,0,
운중로,경기도,성남시,,경기도 성남시 분당구 운중동 954-1,,,,,1.78,운중로_성남시,,0,
운중로,경기도,성남시,,경기도 성남시 분당구 운중동 954-1,,,,,0.51,운중로_성남시,,0,
운중로,경기도,성남시,,경기도 성남시 분당구 운중동 903-1,,,,,0.51,운중로_성남시,,0,
안양판교로,경기도,성남시,,경기도 성남시 분당구 운중동 903,,,,,2.2,안양판교로_성남시,,0,
판교원로82번길,경기도,성남시,,경기도 성남시 분당구 하산운동 368-3,,,,,0.77,판교원로82번길_성남시,,0,
판교원로82번길,경기도,성남시,,경기도 성남시 분당구 하산운동 368-3,,,,,0.24,판교원로82번길_성남시,,0,
판교원로,경기도,성남시,,경기도 성남시 분당구 운중동 903-1,,,,,1.3,판교원로_성남시,,0,
판교역로 192번길,경기도,성남시,,경기도 성남시 분당구 삼평동 741-1,,,,,0.27,판교역로 192번길_성남시,,0,
판교역로,경기도,성남시,,경기도 성남시 분당구 삼평동 641-1,,,,,0.14,판교역로_성남시,,0,
판교역로,경기도,성남시,,경기도 성남시 분당구 백현동 537-1,,,,,0.25,판교역로_성남시,,0,
판교역로,경기도,성남시,,경기도 성남시 분당구 삼평동 641-1,,,,,0.4,판교역로_성남시,,0,
판교역로,경기도,성남시,,경기도 성남시 분당구 삼평동 641-2,,,,,0.58,판교역로_성남시,,0,
판교로228번길,경기도,성남시,,경기도 성남시 분당구 삼평동 634-3,,,,,0.95,판교로228번길_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 판교동 508-9,,,,,0.33,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 삼평동 703-3,,,,,1.36,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 판교동 512-4,,,,,1.37,판교로_성남시,,0,
판교로,경기도,성남시,,경기도 성남시 분당구 이매동 152-9,,,,,0.57,판교로_성남시,,0,
고평지구,경기도,평택시,경기도 평택시 통복동 729,,36.99496,127.0752659,36.99496,127.0752659,0.4,고평지구_평택시,,0,
안성천,경기도,평택시,경기도 평택시 유천동 158-2,,36.971431,127.117917,36.992119,127.066834,7.09,안성천_평택시,,0,
평남로,경기도,평택시,경기도 평택시 통복동 338-2,경기도 평택시 평남로 232 (통복동),36.993679,127.075061,36.993218,127.077122,0.22,평남로_평택시,,0,
평남로,경기도,평택시,경기도 평택시 신대동 42-2,,36.995988,127.070629,36.993838,127.074576,0.51,평남로_평택시,,0,
평남로,경기도,평택시,경기도 평택시 평택동 273-14,,36.988271,127.080709,36.993332,127.077873,0.69,평남로_평택시,,0,
돌마로486번길,경기도,성남시,,경기도 성남시 분당구 서현동 353-2,,,,,0.46,돌마로486번길_성남시,,0,
돌마로476번길,경기도,성남시,,경기도 성남시 분당구 서현동 289-2,,,,,0.46,돌마로476번길_성남시,,0,
돌마로,경기도,성남시,,경기도 성남시 분당구 야탑동 327-1,,,,,1.63,돌마로_성남시,,0,
돌마로,경기도,성남시,,경기도 성남시 분당구 서현동 289-1,,,,,7.1,돌마로_성남시,,0,
돌마로,경기도,성남시,,경기도 성남시 분당구 금곡동 214,,,,,2.54,돌마로_성남시,,0,
백현로101번길,경기도,성남시,,경기도 성남시 분당구 수내동 22-3,,,,,0.05,백현로101번길_성남시,,0,
백현로,경기도,성남시,,경기도 성남시 분당구 수내동 40-7,,,,,0.12,백현로_성남시,,0,
백현로(대로1-12),경기도,성남시,,경기도 성남시 분당구 정자동 99-1,,,,,3.71,백현로(대로1-12)_성남시,,0,
서현로,경기도,성남시,,경기도 성남시 분당구 백현동 541-1,,,,,1.27,서현로_성남시,,0,
서현로,경기도,성남시,,경기도 성남시 분당구 서현동 280-1,,,,,7.2,서현로_성남시,,0,
둔촌대로,경기도,성남시,,경기도 성남시 중원구 하대원동 200,,,,,2.44,둔촌대로_성남시,,0,
둔촌대로(대로3-10),경기도,성남시,,경기도 성남시 중원구 상대원동 513-18,,,,,2.32,둔촌대로(대로3-10)_성남시,,0,
둔촌대로,경기도,성남시,,경기도 성남시 중원구 하대원동 148,,,,,4.28,둔촌대로_성남시,,0,
청계산로,경기도,성남시,,경기도 성남시 수정구 상적동 120-2,,,,,1.3,청계산로_성남시,,0,
청계산로,경기도,성남시,,경기도 성남시 수정구 고등동 316-4,,,,,0.84,청계산로_성남시,,0,
청계산로,경기도,성남시,,경기도 성남시 수정구 고등동 572-2,,,,,2.76,청계산로_성남시,,0,
산성대로,경기도,성남시,,경기도 성남시 수정구 수진동 4731,,,,,1.26,산성대로_성남시,,0,
산성대로,경기도,성남시,,경기도 성남시 중원구 성남동 1575,,,,,1.1,산성대로_성남시,,0,
산성대로,경기도,성남시,,경기도 성남시 중원구 성남동 1575,,,,,2.2,산성대로_성남시,,0,
산성대로(광로2-2),경기도,성남시,,경기도 성남시 중원구 성남동 1395,,,,,8.0,산성대로(광로2-2)_성남시,,0,
운중로225번길(판교공원로),경기도,성남시,,경기도 성남시 분당구 판교동 614-13,,,,,0.08,운중로225번길(판교공원로)_성남시,,0,
운중로243번길(판교공원로1길),경기도,성남시,,경기도 성남시 분당구 판교동 638-2,,,,,0.56,운중로243번길(판교공원로1길)_성남시,,0,
운중로277번길(판교공원로),경기도,성남시,,경기도 성남시 분당구 판교동 584-1,,,,,0.53,운중로277번길(판교공원로)_성남시,,0,
운중로165번길,경기도,성남시,,경기도 성남시 분당구 운중동 898-6,,,,,0.15,운중로165번길_성남시,,0,
운중로137번길,경기도,성남시,,경기도 성남시 분당구 운중동 898-6,,,,,0.15,운중로137번길_성남시,,0,
운중로113번길,경기도,성남시,,경기도 성남시 분당구 운중동 898-6,,,,,0.12,운중로113번길_성남시,,0,
운중로45번길,경기도,성남시,,경기도 성남시 분당구 운중동 898-6,,,,,0.1,운중로45번길_성남시,,0,
운중로,경기도,성남시,,경기도 성남시 분당구 판교동 624-1,,,,,2.0,운중로_성남시,,0,
수정로,경기도,성남시,,경기도 성남시 수정구 수진동 2997,,,,,1.36,수정로_성남시,,0,
수정로(복개도로),경기도,성남시,,경기도 성남시 수정구 태평동 6974-1,,,,,1.24,수정로(복개도로)_성남시,,0,
수내로,경기도,성남시,,경기도 성남시 분당구 수내동 50-1,,,,,0.29,수내로_성남시,,0,
수내로,경기도,성남시,,경기도 성남시 분당구 수내동 40-6,,,,,0.29,수내로_성남시,,0,
수내로,경기도,성남시,,경기도 성남시 분당구 수내동 40-4,,,,,0.23,수내로_성남시,,0,
수내로(대로1-11),경기도,성남시,,경기도 성남시 분당구 수내동 40-4,,,,,3.04,수내로(대로1-11)_성남시,,0,
분당내곡로,경기도,성남시,,경기도 성남시 분당구 삼평동 641-1,,,,,0.46,분당내곡로_성남시,,0,
분당내곡로(광장로),경기도,성남시,,경기도 성남시 분당구 삼평동 667-7,,,,,0.14,분당내곡로(광장로)_성남시,,0,
분당내곡로(광장로),경기도,성남시,,경기도 성남시 분당구 삼평동 741-1,,,,,0.14,분당내곡로(광장로)_성남시,,0,
분당내곡로(광장로),경기도,성남시,,경기도 성남시 분당구 백현동 545-5,,,,,0.5,분당내곡로(광장로)_성남시,,0,
분당내곡로(광장로),경기도,성남시,,경기도 성남시 분당구 백현동 529-2,,,,,0.86,분당내곡로(광장로)_성남시,,0,
분당내곡로(광장로),경기도,성남시,,경기도 성남시 분당구 수내동 41-1,,,,,1.07,분당내곡로(광장로)_성남시,,0,
매화로(송림로)(대로3-16),경기도,성남시,,경기도 성남시 분당구 야탑동 198-1,,,,,2.06,매화로(송림로)(대로3-16)_성남시,,0,
양현로310번길,경기도,성남시,,경기도 성남시 분당구 야탑동 348,,,,,0.13,양현로310번길_성남시,,0,
양현로(탄천우로),경기도,성남시,,경기도 성남시 분당구 야탑동 487-1,,,,,8.38,양현로(탄천우로)_성남시,,0,
양현로,경기도,성남시,,경기도 성남시 분당구 야탑동 487-1,,,,,2.78,양현로_성남시,,0,
야탑로65번길,경기도,성남시,,경기도 성남시 분당구 야탑동 346,,,,,0.09,야탑로65번길_성남시,,0,
야탑로(번영로),경기도,성남시,,경기도 성남시 분당구 야탑동 197-1,,,,,2.5,야탑로(번영로)_성남시,,0,
