start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count
37.063344,127.044127,37.063344,127.044127,0.068,3.0,자전거전용도로,Y,1,0.1884,0,0,0,0
37.06447,127.044124,37.06447,127.044124,0.147,3.0,자전거전용도로,Y,1,0.1888,0,0,0,0
37.065591,127.044582,37.065591,127.044582,0.088,3.0,자전거전용도로,Y,1,0.1885,0,0,0,0
37.02621,127.054381,37.02621,127.054381,0.22,1.8,자전거전용도로,Y,0,0.0988,1,0,0,0
37.026251,127.053919,37.026251,127.053919,0.21,1.8,자전거전용도로,Y,0,0.0987,1,0,0,0
37.48772188,127.3067266,37.4750145,127.3063463,1.6,1.5,자전거전용차로,Y,0,0.0821,0,1,0,0
37.48826196,127.3066312,37.47911759,127.303821,1.1,1.5,자전거전용차로,Y,0,0.08,0,1,0,0
37.35091147,127.348235,37.35264279,127.3370791,1.09,1.5,자전거보행자겸용도로,Y,0,0.0799,2,0,0,0
37.3509224,127.3485848,37.3535107,127.3375907,1.04,1.5,자전거보행자겸용도로,Y,0,0.0797,2,0,0,0
37.39608595,127.2511217,37.39773815,127.2530592,0.3,2.5,자전거전용도로,Y,1,0.1518,1,0,0,0
37.39453483,127.2494995,37.39584096,127.2508531,0.19,2.5,자전거전용도로,Y,1,0.1513,1,0,0,0
37.40577238,127.2553743,37.40601643,127.2554961,0.06,3.0,자전거보행자겸용도로,Y,1,0.1884,2,1,0,0
37.40571384,127.2546633,37.40572456,127.2549342,0.06,3.0,자전거보행자겸용도로,Y,1,0.1884,2,1,0,0
37.40458249,127.2510147,37.40571384,127.2546633,0.36,3.0,자전거보행자겸용도로,Y,1,0.1897,2,1,0,0
37.40446036,127.2502253,37.40649224,127.2495047,0.32,3.0,자전거보행자겸용도로,Y,1,0.1895,1,1,0,0
37.40559536,127.2558844,37.40499813,127.2554836,0.06,3.0,자전거보행자겸용도로,Y,1,0.1884,2,1,0,0
37.40481416,127.2548868,37.40499813,127.2554836,0.06,3.0,자전거보행자겸용도로,Y,1,0.1884,2,1,0,0
37.40385109,127.2507735,37.40481416,127.2548868,0.16,3.0,자전거보행자겸용도로,Y,1,0.1888,2,1,0,0
37.40470819,127.2523689,37.40385109,127.2507735,0.1,3.0,자전거보행자겸용도로,Y,1,0.1886,1,1,0,0
